 	Identification	Name	Group of collection	Collection		Strain type		Synonyms	Reference équilibre	Date d'isolement	T ° of incubation	Bibliography	Sequence reference	Private Strain	Genotype	strain MOT	Wanted MTA	GMO strain	Restrictions on the dissemination	History of deposit	Isolated from	Properties	Classification	Clinical shape	Phenotype	Comments	Sequence reference	pathogenicity	Lieu	Classe emballage	Atmosphère incubation	Medium 
11	PCC 6309	Anabaena	Cyanobactéries	PCC	407			Anabaena cylindrica, Anabaena subcylindrica, Anabaena variabilis	SAG 1403-4b as Anabaena variabilis;ACMM 391 as Anabaena subcylindrica;CCAP 1403/4B as Anabaena variabilis;UTEX 377 as Anabaena variabilis		22°	J. Gen. Microbiol., 1979, 111, 1-61; Int. J. Syst. Bacteriol., 1981, 31, 139-147.		false		false	false	false		"M.M. Allen (?) <- (I) M. Shilo <- (I) UTEX <- CCAP, isolator unknown, (original designation) ""P40"""	Fresh water	%G+C 38.3 Genome size (Gdal) 3.56 Nutrition obligate autotroph N2 fixation aerobic Pigments: C-PE - Pigments: PEC + CCA - W/D (vegetatives cells) nd W/D (transient stages) n/a Mobility negative Gaz vesicles negative Designation: ATCC 29211 							Utrecht, The Netherlands	B	Aerobic	1547
12	PCC 6310	Nostoc	Cyanobactéries	PCC	407			Anabaena spiroides	UTCC 68 as Anabaena spiroides;UTEX 1552 as Anabaena spiroides	01-01-1963	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		M. M. Allen <- (I) M. Shilo as Anabaena spiroides	Fish, pond	%G+C 44.2 Genome size (Gdal) 4.52 Nutrition: Chemioheterotroph N2 fixation aerobic Pigments: C-PE + Pigments: PEC - CCA II W/D (vegetatives cells) nd W/D (transient stages) nd Motility negative Gas vesicles negative Designation: ATCC 27896 							Northern Galilee, Israel	B	Aerobic	1547
13	PCC 6311	Synechococcus	Cyanobactéries	PCC	407			Anacystis sp.	UTEX 1549 as Anacystis sp. (no longer available)	01-01-1963	25°C°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		M.M. Allen	Fresh water	%G+C 54.8 Genome size (Gdal) 1.57 Nutrition: obligate autotroph Salt tolerance stenohaline N2 fixation negative Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 1-1.2 Phages (sens) AS-1M W/D (transient stages) n/a Phages (res) SM-1 Motility negative Gaz vesicles negative Designation: ATCC 27145 							California, USA	B	Aerobic	1539
14	PCC 6312	Synechococcus	Cyanobactéries	PCC	407			 		01-01-1963	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		M. M. Allen as Anacystis sp.	Fresh water	%G+C 50.2 Genome size (Gdal) 1.98 Nutrition: obligate autotroph Salt tolerance stenohaline N2 fixation negative Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 1.3-1.5 W/D (transient stages) n/a Phages (res) AS-1M and SM-1 Motility negative Gas vesicles negative Designation: ATCC 27167 				GCA_000316685.1			California, USA.	B	Aerobic	1539
15	PCC 6313	Spirulina	Cyanobactéries	PCC	407			 		01-01-1963	22°	J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection III, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 539-562.		false		false	false	false		M. M. Allen	Brackish water	%G+C 53.4 Genome size (Gdal) 2.53 Nutrition: obligate autotroph N2 fixation negative Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 2 W/D (transient stages) n/a Motility permanent Gaz vesicles negative Designation: ATCC 29542 				GCA_001890765.1 			Berkeley, California, USA	B	Aerobic	1546
16	PCC 6314	Nostoc	Cyanobactéries	PCC	407			Nostoc muscorum	ACMM 411;UTEX B 1545 as Nostoc muscorum	01-01-1963	25°	J. Gen. Microbiol., 1979, 111, 1-61; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		M. M. Allen	Crude algal	%G+C 43.9 Genome size (Gdal) 5.12 Nutrition: obligate autotroph Pigments: C-PE - Pigments: PEC + CCA - W/D (vegetatives cells) nd W/D (transient stages) nd Motility nd N2 fixation nd Gas vesicles transient, dispersed Designation: ATCC 27904 								B	Aerobic	1539
17	PCC 6314/1	Nostoc	Cyanobactéries	PCC	407						22°			false		false	false	false		R. Rippka		W/D (vegetatives cells) nd W/D (transient stages) nd Nutrition: obligate autotroph Toxins: Hepatotoxins not detected (S.G. Bell & G.A. Codd, pers. comm.) N2 fixation aerobic Pigments: C-PE - Pigments: PEC + CCA negative %G+C nd Gaz vesicles nd 								B	Aerobic	1547
18	PCC 6401	Oscillatoria	Cyanobactéries	PCC	407					01-01-1964	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		M.M. Allen	Mud, marine	%G+C 46.9 Genome size (Gdal) nd Nutrition: obligate autotroph N2 fixation - Pigments: C-PE - Pigments: PEC - CCA - Motility permanent W/D (transient stages) n/a W/D (vegetatives cells) 4 - 5 Designation: ATCC 29215 							California, USA	B	Aerobic	1539
19	PCC 6402	Leptolyngbya	Cyanobactéries	PCC	407			Plectonema sp.	UTEX 1541 as Plectonema sp.	01-01-1964	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		M.M. Allen	Water, pond	%G+C 47.4 Genome size (Gdal) 3.99 N2 fixation anaerobic Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 1.8 - 2.3 Phages (sens) LPP-1 W/D (transient stages) n/a Motility transient Gas vesicles - Nutrition: chemoheterotroph Designation: ATCC 27902 							California, USA	B	Aerobic	1539
20	PCC 6406	Leptolyngbya	Cyanobactéries	PCC	407			Pseudanabaena sp.		01-01-1964	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Rippka <- (I) M. M. Allen	Fresh water	%G+C 52.2 Genome size (Gdal) 3.77 Nutrition: obligate autotroph N2 fixation anaerobic Pigments: C-PE - Pigments: PEC + CCA - W/D (vegetatives cells) 0.8 - 1.3 W/D (transient stages) n/a Motility permanent Gas vesicles permanent, dispersed Designation: 29118 (no longer available) 				GCA_000332095.2			California, USA	B	Aerobic	1539
21	PCC 6407	Oscillatoria	Cyanobactéries	PCC	407			 		01-01-1964	22°	J. Gen. Microbiol., 1979, 111, 1-61; Subsection III, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 539-562; Microbiol., 2005, 151, 1263-1273; Appl. Environ. Microbiol., 2007, 73, 7605-7614.		false		false	false	false		M. M. Allen	Fresh water	%G+C 45.4 Genome size (Gdal) nd Nutrition: Photoheterotroph N2 fixation anaerobic Pigments: C-PE - W/D (vegetatives cells) 4 - 5 W/D (transient stages) n/a Motility permanent Toxins: Neurotoxins anatoxin-a (R. Araoz et al., 2005) Toxins: Neurotoxins homoanatoxin-a (Cadel-Six et al., 2007) Designation: ATCC 27906 				                     Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.GCA_000332155.1      			California, USA	B	Aerobic	1539
22	PCC 6409	Leptolyngbya	Cyanobactéries	PCC	407			Phormidium sp.	UTEX 1540 as Phormidium sp.	01-01-1964	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		M. M. Allen	Water, pond	%G+C 48 Genome size (Gdal) 3.34 Nutrition: chemoheterotroph N2 fixation anaerobic Pigments: C-PE + Pigments: PEC - CCA III W/D (vegetatives cells) 1.8 - 2.3 W/D (transient stages) n/a Phages (res) LPP-1 Motility transient Gas vesicles - Designation: ATCC 29119 				                      Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.      			California, USA	B	Aerobic	1539
23	PCC 6411	Nostoc	Cyanobactéries	PCC	407			Anabaena sp.	UTEX 1597 (no longer available)	01-01-1964	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		M. M. Allen	Water, pond	%G+C 42.9 Genome size (Gdal) 3.89 Nutrition: obligate autotroph N2 fixation nd Pigments: C-PE - Pigments: PEC + CCA - W/D (vegetatives cells) 3 - 3.5 W/D (transient stages) nd Phages (sens) N-1 Motility - Gaz vesicles transient, dispersed Designation: ATCC 27898 as Anabaena sp. 							California, USA	B	Aerobic	1539
24	PCC 6411/1	Nostoc	Cyanobactéries	PCC	407						22°			false		false	false	false		R. Rippka		%G+C nd Genome size (Gdal) nd Nutrition: obligate autotroph N2 fixation aerobic Pigments: C-PE - Pigments: PEC + CCA - W/D (vegetatives cells) 3 - 3.5 W/D (transient stages) nd Phages (sens) N-1 Motility - Gas vesicles transient, dispersed 								B	Aerobic	1547
25	PCC 6412	Oscillatoria	Cyanobactéries	PCC	407			Lyngbya sp.	UTEX 1546 as Lyngbya sp.	01-01-1964	22°	J. Gen. Microbiol., 1979, 111, 1-61; Microbiol., 2005, 151, 1263-1273.		false		false	false	false		M. M. Allen	Fresh water	%G+C 42.5 Genome size (Gdal) 3.15 Nutrition: photoheterotroph N2 fixation anaerobic Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 4 - 5 W/D (transient stages) n/a Motility permanent Gas vesicles transient, dispersed Toxins: Neurotoxins anatoxin-a (R. Araoz et al., 2005) Designation: ATCC 29205 							California, USA	B	Aerobic	1539
26	PCC 6501	Gloeothece	Cyanobactéries	PCC	407			Gloeocapsa sp.	SAG 26.84 as Gloeothece membranacea;UTEX LB 1938 as Gloeocapsa sp.;CCAP 1430/2 as Gloeocapsa sp.	01-01-1965	25°	J. Gen. Microbiol., 1968, 51, 199-202; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Ann. Microbiol. (Institut Pasteur), 1983, 134B, 21-36; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 1989, 3, 1728-1746; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		M. M. Allen	Fresh water	%G+C 41.7 Genome size (Gdal) 2.31 Nutrition: obligate autotroph Salt tolerance stenohaline N2 fixation aerobic Pigments: C-PE + Pigments: PEC - CCA I W/D (vegetatives cells) 5 -6 W/D (transient stages) n/a Motility - Gas vesicles - Designation: ATCC 27151 (no longer available) 							California, USA	B	Aerobic	1547
27	PCC 6506	Oscillatoria	Cyanobactéries	PCC	407			Lyngbya kuetzingii	UTEX 1547 as Lyngbya kuetzingii		25°	Arch. Mikrobiol., 1966, 53, 402-412; J. Gen. Microbiol., 1979, 111, 1-61; Oxf. Surv. Plant Mol. & Cell Biol., 1987, 4, 137-166; Microbiol., 2005, 151, 1263-1273.		false		false	false	false		E. G. Pringsheim as Lyngbya kuetzingii	Source unknown	%G+C 44.6 Genome size (Gdal) nd Nutrition: photoheterotroph N2 fixation anaerobic Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 4 - 5 W/D (transient stages) n/a Motility permanent Gaz vesicles transient, dispersed Toxins: Neurotoxins anatoxin-a & homoanatoxin-a (R. Araoz et. al, 2005) Designation: ATCC 29081 (no longer available) 				GCA_000180455.1				B	Aerobic	1539
28	PCC 6601	Tolypothrix	Cyanobactéries	PCC	407					01-01-1966	22°			false		false	false	false		M. M. Allen as Nostoc sp.	Algal material	%G+C 43.2 Genome size (Gdal) 4.1 Nutrition: photoheterotroph N2 fixation anaerobic Pigments: C-PE + Pigments: PEC - CCA III W/D (transient stages) nd W/D (vegetatives cells) nd Motility - Gas vesicles - 							Berkeley, USA	B	Aerobic	1539
29	PCC 6602	Oscillatoria	Cyanobactéries	PCC	407					01-01-1966	22°C°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		M. M. Allen	Fresh water	%G+C 45.4 Genome size (Gdal) 3.86 Nutrition: photoheterotroph N2 fixation anaerobic Pigments: C-PE + Pigments: PEC - CCA I W/D (transient stages) n/a W/D (vegetatives cells) 4 - 5 Motility permanent Designation: ATCC 27935 				                           			California, USA	B	Aerobic	1539
30	PCC 6603	Synechococcus	Cyanobactéries	PCC	407				CALU 747 (B. V. Gromov, pers. comm.)	01-01-1963	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		M. M. Allen	Water, pond	%G+C 48.2 Genome size (Gdal) 2.13 Nutrition: obligate autotroph Salt tolerance stenohaline N2 fixation - Pigments: C-PE - Pigments: PEC - CCA - W/D (transient stages) n/a W/D (vegetatives cells) 1.2 - 1.4 Phages (res) AS-1M Motility - Gas vesicles - Designation: ATCC 27168 							California, USA	B	Aerobic	1539
31	PCC 6605	Chamaesiphon	Cyanobactéries	PCC	407				ACMM 446 as Synechococcus	01-01-1966	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 1989, 3, 1728-1746; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		M. M. Allen	Water, stream	%G+C 46.9 Genome size (Gdal) 3.75 Nutrition: obligate autotroph Salt tolerance stenohaline N2 fixation - Pigments: C-PE + Pigments: PEC - CCA III W/D (vegetatives cells) 2.5 - 3 W/D (transient stages) 1.5 - 2 Motility - Gas vesicles - Designation: ATCC 27169 (no longer available) 				GCA_000317145.1			Berkeley, California, USA	B	Aerobic	1539
32	PCC 6701	Synechocystis	Cyanobactéries	PCC	407			 	ACMM 440;NIBB 1055	01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. Hauxhurst as Aphanocapsa HA	Fresh water	%G+C 35.8 Genome size (Gdal) 2.5 Nutrition: obligate autotroph Salt tolerance stenohaline N2 fixation - Pigments: C-PE + Pigments: PEC - CCA II W/D (transient stages) n/a W/D (vegetatives cells) 3.5 - 4 Motility - Gas vesicles - Designation: ATCC 27170 							California, USA	B	Aerobic	1539
33	PCC 6702	Synechocystis	Cyanobactéries	PCC	407			 		01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. Hauxhurst as Aphanocapsa HD	Fresh water	%G+C 47.4 Genome size (Gdal) 2.05 Nutrition: photoheterotroph Salt tolerance euryhaline N2 fixation - Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 2.3 - 2.5 W/D (transient stages) n/a Motility - Gas vesicles - Designation: ATCC 27171 							California, USA	B	Aerobic	1539
34	PCC 6703	Leptolyngbya	Cyanobactéries	PCC	407					01-01-1967	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Rippka <- (I) G. Cohen-Bazire as Phormidium 1.3.1	Water, lake	%G+C 46.6 Gaz vesicles 3.6 Nutrition: obligate autotroph N2 fixation - Pigments: C-PE + Pigments: PEC - CCA III W/D (vegetatives cells) 1.8 - 2.3 W/D (transient stages) n/a Phages (res) LPP-1 Motility - Gas vesicles - Designation: ATCC 27907 							Washington, USA	B	Aerobic	1539
35	PCC 6705	Nostoc	Cyanobactéries	PCC	407				ACMM 409	01-01-1967	22°	J. Gen. Microbiol., 1979, 111, 1-61; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		R. Rippka; <- (I) G. Cohen-Bazire as Anabaena 5.3.1	Botanical garden	%G+C 43.4 Genome size (Gdal) 5.55 Nutrition: obligate autotroph N2 fixation aerobic Pigments: C-PE - Pigments: PEC + CCA - W/D (vegetatives cells) 3 - 3.5 W/D (transient stages) nd Phages (res) N-1 Motility transient Gas vesicles transient, dispersed Designation: ATCC 29131 							California Univ., Berkeley, USA	B	Aerobic	1547
36	PCC 6706	Synechococcus	Cyanobactéries	PCC	407					01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205.		false		false	false	false		R. Kunisawa as Synechococcus 1-3A	Fresh water	%G+C 70.2 Genome size (Gdal) 5.55 Nutrition: obligate autotroph Pigments: C-PE nd Pigments: PEC nd CCA nd W/D (vegetatives cells) 0.8 - 1 W/D (transient stages) n/a Phages (res) AS-1M Gas vesicles - 				                     Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;  &nbsp;      			California, USA	B	Aerobic	1539
37	PCC 6707	Synechococcus	Cyanobactéries	PCC	407					01-01-1967	22°C°	Bacteriol. Rev., 1971, 35, 171-205.		false		false	false	false		R. Kunisawa as Synechococcus 1-3B	Fresh water	The % G+C (67.7 %) described in Stanier et al. 1971 for this strain is doubtful Nutrition: obligate autotroph Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 1 - 1.2 W/D (transient stages): n/a Phages (sens): AS-1M Gas vesicles: - 							California, USA	B	Aerobic	1539
38	PCC 6708	Synechococcus	Cyanobactéries	PCC	407					01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205.		false		false	false	false		R. Kunisawa as Synechococcus 1-3C	Fresh water	%G+C 69.4 Pigments: C-PE nd Pigments: PEC nd CCA nd W/D (vegetatives cells) 0.8 - 1 W/D (transient stages) n/a Gas vesicles - 							California, USA	B	Aerobic	1539
39	PCC 6709	Synechococcus	Cyanobactéries	PCC	407					01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205.		false		false	false	false		R. Kunisawa as Synechococcus 1-3D	Fresh water	%G+C 67.7 Gaz vesicles 2.04 Nutrition: obligate autotroph Pigments: C-PE nd Pigments: PEC nd CCA nd W/D (vegetatives cells) 1 - 1.2 W/D (transient stages) n/a Phages (res) AS-1M Gas vesicles - 				                      Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;  &nbsp;      			California, USA	B	Aerobic	1539
40	PCC 6710	Cyanobium	Cyanobactéries	PCC	407					01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa as Synechococcus 1-3E	Fresh water	%G+C 68.4 Genome size (Gdal) 2.21 Nutrition: obligate autotroph Salt tolerance stenohaline N2 fixation - Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 1.2 - 1.4 W/D (transient stages) n/a Phages (res) AS-1M and SM-1 Motility - Gas vesicles - Designation: ATCC 27174 (no longer available) 							California, USA	B	Aerobic	1539
41	PCC 6711	Synechocystis	Cyanobactéries	PCC	407					01-01-1967	22°	Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Kunisawa as Aphanocapsa 1-3F	Source unknown	%G+C 37 Genome size (Gdal) 2.15 Nutrition: obligate autotroph Salt tolerance stenohaline N2 fixation - Pigments: C-PE + Pigments: PEC - CCA II W/D (vegetatives cells) 4 W/D (transient stages) n/a Motility permanent Gas vesicles - Designation: ATCC 27175 				                     Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;  &nbsp;      			California, USA	B	Aerobic	1539
